land_ref_label,land_Lat-Center,land_Lon-Center,land_Lat-NW,land_Lon-NW,land_Lat-SE,land_Lon-SE,GRASSY_LOCAL,DENSE_WOOD_LOCAL,WOODY_LOCAL,SUBURBAN_LOCAL,WATERY_LOCAL,URBAN_LOCAL,AGRICULTURAL_LOCAL,GRASSY_BROAD,DENSE_WOOD_BROAD,WOODY_BROAD,SUBURBAN_BROAD,WATERY_BROAD,URBAN_BROAD,AGRICULTURAL_BROAD
gardenMtLake_6,40.365934,-74.650875,40.3695571884058,-74.65545375457876,40.362310811594206,-74.64629624542124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gardenMtLake_7,40.356519,-74.693112,40.360142188405796,-74.69769075457876,40.3528958115942,-74.68853324542124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gardenMtLake_8,40.356519,-74.672103,40.360142188405796,-74.67668175457877,40.3528958115942,-74.66752424542125,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gardenMtLake_9,40.356519,-74.650875,40.360142188405796,-74.65545375457876,40.3528958115942,-74.64629624542124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gardenPrinceton_1,40.356602,-74.677287,40.3602251884058,-74.68186575457877,40.352978811594205,-74.67270824542125,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gardenPrinceton_2,40.356602,-74.656342,40.3602251884058,-74.66092075457875,40.352978811594205,-74.65176324542124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gardenPrinceton_3,40.356602,-74.635291,40.3602251884058,-74.63986975457875,40.352978811594205,-74.63071224542124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gardenPrinceton_4,40.347059,-74.677287,40.3506821884058,-74.68186575457877,40.343435811594205,-74.67270824542125,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gardenPrinceton_5,40.347059,-74.656342,40.3506821884058,-74.66092075457875,40.343435811594205,-74.65176324542124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gardenPrinceton_6,40.347059,-74.635291,40.3506821884058,-74.63986975457875,40.343435811594205,-74.63071224542124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gardenPrinceton_7,40.337598,-74.677287,40.3412211884058,-74.68186575457877,40.3339748115942,-74.67270824542125,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gardenPrinceton_8,40.337598,-74.656342,40.3412211884058,-74.66092075457875,40.3339748115942,-74.65176324542124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gardenPrinceton_9,40.337598,-74.635291,40.3412211884058,-74.63986975457875,40.3339748115942,-74.63071224542124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
golfHopewell_1,40.373815,-74.804523,40.3774381884058,-74.80910175457876,40.370191811594204,-74.79994424542124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
