land_ref_label,land_Lat-Center,land_Lon-Center,land_Lat-NW,land_Lon-NW,land_Lat-SE,land_Lon-SE,GRASSY_LOCAL,DENSE_WOOD_LOCAL,WOODY_LOCAL,SUBURBAN_LOCAL,WATERY_LOCAL,URBAN_LOCAL,AGRICULTURAL_LOCAL,GRASSY_BROAD,DENSE_WOOD_BROAD,WOODY_BROAD,SUBURBAN_BROAD,WATERY_BROAD,URBAN_BROAD,AGRICULTURAL_BROAD
univArtMuseum_9,40.334793,-74.635716,40.33841619,-74.64029475,40.33116981,-74.63113725,0.512503325,0.000262985,0.148018112,0.046966498,0.012104134,0.280144946,0,0.392702778,0.026675171,0.072871475,0.102421574,0.104401511,0.293003739,0.007923754
univForestSwTrack_1,40.353617,-74.671335,40.35724019,-74.67591375,40.34999381,-74.66675625,0.017635551,0.034677597,0,0.827738177,0.021278952,0.098669723,0,0.083003642,0.078904312,0.00391272,0.514384366,0.070901708,0.230811491,0.018081762
univForestSwTrack_2,40.353617,-74.650305,40.35724019,-74.65488375,40.34999381,-74.64572625,0.030615133,0.010422001,0,0.455651892,0,0.503310974,0,0.076135461,0.00617679,0,0.43842579,0.006283715,0.472978245,0
univForestSwTrack_3,40.353617,-74.629285,40.35724019,-74.63386375,40.34999381,-74.62470625,0,0.030278871,0,0.676923328,0.250849492,0.041948309,0,0.030948375,0.065955968,0.042732516,0.487736829,0.137450906,0.235175406,0
univForestSwTrack_4,40.342717,-74.671335,40.34634019,-74.67591375,40.33909381,-74.66675625,0.079355258,0.123347984,0.018138546,0.648121204,0,0.131037009,0,0.089836404,0.084183442,0.005343418,0.588374238,0.005894252,0.226368246,0
univForestSwTrack_5,40.342717,-74.650305,40.34634019,-74.65488375,40.33909381,-74.64572625,0.305024095,0.18978734,0.015652953,0,0.171166105,0.318369507,0,0.225601239,0.118296549,0.027420334,0.037440145,0.135978997,0.455262736,0
univForestSwTrack_6,40.342717,-74.629285,40.34634019,-74.63386375,40.33909381,-74.62470625,0.020384354,0.065789915,0.022214645,0.109520713,0.442192631,0.339897742,0,0.136041257,0.058249409,0.089213801,0.157805823,0.227934998,0.322830043,0.007924669
univForestSwTrack_7,40.333492,-74.671335,40.33711519,-74.67591375,40.32986881,-74.66675625,0.230704139,0.085023676,0,0.408729214,0.008437107,0.267105863,0,0.173854819,0.246940973,0.009650266,0.402547722,0.019062608,0.147943612,0
univForestSwTrack_8,40.333492,-74.650305,40.33711519,-74.65488375,40.32986881,-74.64572625,0.230704139,0.085023676,0,0.408729214,0.008437107,0.267105863,0,0.244732989,0.140571354,0.04391068,0.051019631,0.213677655,0.303055607,0.003032084
univForestSwTrack_9,40.333492,-74.629285,40.33711519,-74.63386375,40.32986881,-74.62470625,0.221517638,0.026367053,0.004515739,0.003293239,0.113508524,0.630797806,0,0.249769938,0.03720394,0.040236249,0.122735788,0.203463681,0.325501132,0.021089272
univGuyotHall_1,40.356659,-74.675203,40.36028219,-74.67978175,40.35303581,-74.67062425,0.062286109,0.17338182,0.010291632,0.570237765,0.142847978,0.019139812,0.021814884,0.158804428,0.171071376,0.006381968,0.408218224,0.120610411,0.069179114,0.065734478
univGuyotHall_2,40.356659,-74.654241,40.36028219,-74.65881975,40.35303581,-74.64966225,0.106856523,0.003156063,0,0.489344727,0,0.400642687,0,0.087633974,0.004318466,0,0.475063558,0,0.432984002,0
univGuyotHall_3,40.356659,-74.633262,40.36028219,-74.63784075,40.35303581,-74.62868325,0.030089807,0.070517148,0,0.857796606,0.003726033,0.037870406,0,0.013121417,0.049522507,0.005208708,0.710542737,0.150054527,0.071550104,0
univGuyotHall_4,40.345588,-74.675203,40.34921119,-74.67978175,40.34196481,-74.67062425,0.027582465,0.074483288,3.04E-05,0.654712791,0.005429553,0.237761503,0,0.045673852,0.143910148,0.019213688,0.640156909,0.015127428,0.135917975,0
univGuyotHall_5,40.345588,-74.654241,40.34921119,-74.65881975,40.34196481,-74.64966225,0.107986804,0.042389171,0,0,0.013739098,0.835884926,0,0.184466046,0.069599764,0.009251128,0.062650941,0.061167627,0.612864494,0
univGuyotHall_6,40.345588,-74.633262,40.34921119,-74.63784075,40.34196481,-74.62868325,0.02540497,0.047240523,0.02330759,0.4891099,0.331160294,0.083776723,0,0.099075907,0.049643827,0.041493723,0.340216867,0.256687231,0.204957443,0.007925002
univGuyotHall_7,40.336579,-74.675203,40.34020219,-74.67978175,40.33295581,-74.67062425,0.049596246,0.16949123,0,0.748313099,0.013359527,0.019239897,0,0.119108236,0.140056669,0.010269358,0.553013529,0.046541672,0.131010536,0
